Time (Sec);S27;S1;S10;S2;S3;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S4;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S5;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S6;S7;S8;S9;
0.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.10353066666666666;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19160.0;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19160.0;19160.0;19159.9915712;19159.9915712;19160.0;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19160.0;19159.9972544;19159.9972544;19159.9972544;
1.026666666666666;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9972544;19159.9972544;19159.9972544;
1.026666666666666;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9972544;19159.9972544;19159.9972544;
1.0363399999999994;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9915712;19159.9881392;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9972544;19159.9972544;19159.9972544;
1.0363399999999994;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9915712;19159.9810352;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9972544;19159.9972544;19159.9972544;
1.0460133333333328;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9881392;19159.9810352;19159.9810352;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9972544;19159.9972544;19159.9972544;
1.0460133333333328;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9972544;19159.9972544;19159.9972544;
1.0556866666666662;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9881392;19159.9915712;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9881392;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9881392;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9972544;19159.9972544;19159.9972544;
1.0556866666666662;19160.0;19159.9972544;19159.9972544;19159.9972544;19159.9972544;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9810352;19159.9915712;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9915712;19159.9972544;19159.9915712;19159.9915712;19159.9915712;19159.9810352;19159.9810352;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9915712;19159.9972544;19159.9972544;19159.9972544;19159.9972544;
