Time (Sec);S1;S10;S11;S12;S13;S14;S15;S16;S17;S19;S2;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S4;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S5;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S6;S60;S61;S62;S7;S8;S9;
0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.1028333333333333;100.0;99.99326959999999;99.99326959999999;99.9903952;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.9903952;99.98033279999999;99.9937432;99.98033279999999;99.9935936;100.0;100.0;100.0;99.9967968;99.99016639999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9937432;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.9903952;99.99016639999999;99.9903952;100.0;100.0;100.0;99.9937432;100.0;100.0;100.0;99.99016639999999;99.99016639999999;99.99016639999999;99.99016639999999;99.9903952;99.9903952;99.98696319999999;99.9937432;99.98033279999999;99.97712959999998;99.97049919999998;99.97049919999998;99.99016639999999;99.99016639999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9903952;99.9937432;99.99016639999999;99.99016639999999;99.9903952;99.9937432;99.9937432;99.9937432;
600.0000000000009;100.0;99.99326959999999;99.99326959999999;99.9903952;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.9903952;99.98033279999999;99.9937432;99.98033279999999;99.9935936;100.0;100.0;100.0;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9937432;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.9903952;99.99016639999999;99.9903952;100.0;100.0;100.0;99.9937432;100.0;100.0;100.0;99.99016639999999;99.99016639999999;99.99016639999999;99.99016639999999;99.9903952;99.9903952;99.97049919999998;99.9937432;99.97049919999998;99.97049919999998;99.97049919999998;99.97049919999998;99.99016639999999;99.99016639999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9903952;99.9937432;99.99016639999999;99.99016639999999;99.9903952;99.9937432;99.9937432;99.9937432;
900.0266666666676;100.0;99.99316959999999;99.99316959999999;99.9903952;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.9903952;99.98033279999999;99.9936432;99.98033279999999;99.9935936;100.0;100.0;100.0;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9936432;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.9903952;99.99016639999999;99.9903952;100.0;100.0;100.0;99.9936432;100.0;100.0;100.0;99.99016639999999;99.99016639999999;99.99016639999999;99.99016639999999;99.9903952;99.9903952;99.97049919999998;99.9936432;99.97049919999998;99.97049919999998;99.97049919999998;99.97049919999998;99.99016639999999;99.99016639999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9903952;99.9936432;99.99016639999999;99.99016639999999;99.9903952;99.9936432;99.9936432;99.9936432;
900.0266666666676;100.0;99.99316959999999;99.99316959999999;99.9903952;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.9903952;99.98033279999999;99.9803824;99.98033279999999;99.9935936;100.0;100.0;100.0;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9803824;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.9903952;99.99016639999999;99.9903952;100.0;100.0;100.0;99.9803824;100.0;100.0;100.0;99.99016639999999;99.99016639999999;99.99016639999999;99.99016639999999;99.9903952;99.9903952;99.97049919999998;99.9803824;99.97049919999998;99.97049919999998;99.97049919999998;99.97049919999998;99.99016639999999;99.99016639999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9903952;99.9803824;99.99016639999999;99.99016639999999;99.9903952;99.9803824;99.9803824;99.9803824;
900.0266666666676;100.0;99.97943519999998;99.97943519999998;99.9903952;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.9903952;99.98033279999999;99.9803824;99.98033279999999;99.9935936;100.0;100.0;100.0;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9803824;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.9903952;99.99016639999999;99.9903952;100.0;100.0;100.0;99.9803824;100.0;100.0;100.0;99.99016639999999;99.99016639999999;99.99016639999999;99.99016639999999;99.9903952;99.9903952;99.97049919999998;99.9803824;99.97049919999998;99.97049919999998;99.97049919999998;99.97049919999998;99.99016639999999;99.99016639999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9903952;99.9803824;99.99016639999999;99.99016639999999;99.9903952;99.9803824;99.9803824;99.9803824;
900.0505013333342;100.0;99.97943519999998;99.97943519999998;99.98398879999999;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.98398879999999;99.98033279999999;99.9803824;99.98033279999999;99.9935936;100.0;100.0;100.0;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9803824;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.98398879999999;99.99016639999999;99.98398879999999;100.0;100.0;100.0;99.9803824;100.0;100.0;100.0;99.99016639999999;99.99016639999999;99.99016639999999;99.99016639999999;99.98398879999999;99.98398879999999;99.97049919999998;99.9803824;99.97049919999998;99.97049919999998;99.97049919999998;99.97049919999998;99.99016639999999;99.99016639999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98398879999999;99.9803824;99.99016639999999;99.99016639999999;99.98398879999999;99.9803824;99.9803824;99.9803824;
900.0505013333342;100.0;99.97943519999998;99.97943519999998;99.97025439999999;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.97025439999999;99.98033279999999;99.9803824;99.98033279999999;99.9935936;100.0;100.0;100.0;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9803824;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.97025439999999;99.99016639999999;99.97025439999999;100.0;100.0;100.0;99.9803824;100.0;100.0;100.0;99.99016639999999;99.99016639999999;99.99016639999999;99.99016639999999;99.97025439999999;99.97025439999999;99.97049919999998;99.9803824;99.97049919999998;99.97049919999998;99.97049919999998;99.97049919999998;99.99016639999999;99.99016639999999;99.98033279999999;99.98033279999999;99.98033279999999;99.97025439999999;99.9803824;99.99016639999999;99.99016639999999;99.97025439999999;99.9803824;99.9803824;99.9803824;
900.0515906666675;100.0;99.97943519999998;99.97943519999998;99.97025439999999;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.97025439999999;99.98033279999999;99.9803824;99.98033279999999;99.9935936;100.0;100.0;100.0;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9803824;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.97025439999999;99.99016639999999;99.97025439999999;100.0;100.0;100.0;99.9803824;100.0;100.0;100.0;99.99016639999999;99.98353119999999;99.99016639999999;99.99016639999999;99.97025439999999;99.97025439999999;99.97049919999998;99.9803824;99.97049919999998;99.97049919999998;99.97049919999998;99.97049919999998;99.99016639999999;99.98353119999999;99.98033279999999;99.98033279999999;99.98033279999999;99.97025439999999;99.9803824;99.99016639999999;99.99016639999999;99.97025439999999;99.9803824;99.9803824;99.9803824;
900.0515906666675;100.0;99.97943519999998;99.97943519999998;99.97025439999999;99.99016639999999;99.99016639999999;99.98033279999999;99.99016639999999;99.97025439999999;99.98033279999999;99.9803824;99.98033279999999;99.9935936;100.0;100.0;100.0;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.98033279999999;99.9803824;99.98033279999999;99.98033279999999;99.99016639999999;99.99016639999999;99.97025439999999;99.99016639999999;99.97025439999999;100.0;100.0;100.0;99.9803824;100.0;100.0;100.0;99.99016639999999;99.96979679999998;99.99016639999999;99.99016639999999;99.97025439999999;99.97025439999999;99.97049919999998;99.9803824;99.97049919999998;99.97049919999998;99.97049919999998;99.97049919999998;99.99016639999999;99.96979679999998;99.98033279999999;99.98033279999999;99.98033279999999;99.97025439999999;99.9803824;99.99016639999999;99.99016639999999;99.97025439999999;99.9803824;99.9803824;99.9803824;
